Stage,Concept_A,Concept_B,Normalized_Strength,Previous_Strength,Change,Status
Seven_Valleys,دل,فنا,0.00581,0.0,0.00581,Emerging
Simurgh_Encounter,دل,فنا,0.0,0.00581,-0.00581,Weakening
Final_State,دل,فنا,0.0,0.0,0.0,Stable
Opening,دل,محو,0.0,0.0,0.0,Stable
Birds_Journey,دل,محو,0.002242,0.0,0.002242,Emerging
Seven_Valleys,دل,محو,0.0,0.002242,-0.002242,Weakening
Simurgh_Encounter,دل,محو,0.0,0.0,0.0,Stable
Final_State,دل,محو,0.0,0.0,0.0,Stable
Opening,دل,مرغ,0.0,0.0,0.0,Stable
Birds_Journey,دل,مرغ,0.004359,0.0,0.004359,Emerging
Seven_Valleys,دل,مرغ,0.0,0.004359,-0.004359,Weakening
Simurgh_Encounter,دل,مرغ,0.0,0.0,0.0,Stable
Final_State,دل,مرغ,0.0,0.0,0.0,Stable
Opening,دل,نفس,0.016929,0.0,0.016929,Emerging
Birds_Journey,دل,نفس,0.022914,0.016929,0.005985,Strengthening
Seven_Valleys,دل,نفس,0.007747,0.022914,-0.015167,Weakening
Simurgh_Encounter,دل,نفس,0.0,0.007747,-0.007747,Weakening
Final_State,دل,نفس,0.022831,0.0,0.022831,Emerging
Opening,دل,پاک,0.013704,0.0,0.013704,Emerging
Birds_Journey,دل,پاک,0.008219,0.013704,-0.005485,Weakening
Seven_Valleys,دل,پاک,0.009684,0.008219,0.001465,Strengthening
Simurgh_Encounter,دل,پاک,0.0,0.009684,-0.009684,Weakening
Final_State,دل,پاک,0.028919,0.0,0.028919,Emerging
Opening,راه,سیمرغ,0.0,0.0,0.0,Stable
Birds_Journey,راه,سیمرغ,0.01208,0.0,0.01208,Emerging
Seven_Valleys,راه,سیمرغ,0.0,0.01208,-0.01208,Weakening
Simurgh_Encounter,راه,سیمرغ,0.0,0.0,0.0,Stable
Final_State,راه,سیمرغ,0.0,0.0,0.0,Stable
Opening,راه,طلب,0.008061,0.0,0.008061,Emerging
Birds_Journey,راه,طلب,0.004608,0.008061,-0.003453,Weakening
Seven_Valleys,راه,طلب,0.027114,0.004608,0.022506,Strengthening
Simurgh_Encounter,راه,طلب,0.0,0.027114,-0.027114,Weakening
Final_State,راه,طلب,0.0,0.0,0.0,Stable
Opening,راه,عشق,0.0,0.0,0.0,Stable
